taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2480454	Haliaeetus vocifer (Daudin, 1800)	2480454	Haliaeetus vocifer (Daudin, 1800)	303	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Haliaeetus	2480444	Haliaeetus vocifer	2480454	LC
2486162	Andropadus importunus (Vieillot, 1818)	2486162	Andropadus importunus (Vieillot, 1818)	239	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Andropadus	2486155	Andropadus importunus	2486162	LC
2493995	Malimbus rubricollis (Swainson, 1838)	2493995	Malimbus rubricollis (Swainson, 1838)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Malimbus	2493992	Malimbus rubricollis	2493995	LC
5230034	Nectarinia cuprea (Shaw, 1812)	7340615	Cinnyris cupreus (Shaw, 1812)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Nectariniidae	5259	Cinnyris	6087249	Cinnyris cupreus	7340615	LC
5845132	Chlorophoneus bocagei (Reichenow, 1894)	5845132	Chlorophoneus bocagei (Reichenow, 1894)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Malaconotidae	5250	Chlorophoneus	4846000	Chlorophoneus bocagei	5845132	LC
2484645	Anthreptes neglectus Neumann, 1922	2484645	Anthreptes neglectus Neumann, 1922	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Nectariniidae	5259	Anthreptes	2484629	Anthreptes neglectus	2484645	LC
9215800	Chloropicus xantholophus (Hargitt, 1883)	9215800	Chloropicus xantholophus (Hargitt, 1883)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Chloropicus	4844732	Chloropicus xantholophus	9215800	NE
2480687	Hieraaetus spilogaster (Bonaparte, 1850)	6066199	Aquila spilogaster (Bonaparte, 1850)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Aquila	2480498	Aquila spilogaster	6066199	LC
5232277	Otus ireneae Ripley, 1966	5232277	Otus ireneae Ripley, 1966	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Otus	2497654	Otus ireneae	5232277	EN
8332393	Spatula clypeata (Linnaeus, 1758)	8332393	Spatula clypeata (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Spatula	4850990	Spatula clypeata	8332393	LC
